Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11917111_1	(1.0, 3.6775241188270127)	(2.0, 1.547425733116821)	(3.0, 0.7164008023688987)	(4.0, 0.4202884707230872)	(5.0, 0.4776005349125991)	(6.0, 0.34387238513707136)	(7.0, 0.20059222466329163)	(8.0, 0.07641608558601586)	(9.0, 0.17193619256853568)	('>10', 5.30136593752985)	('>50', 2.5885948992262873)	('>100', 4.7951093705224945)	('>500', 6.629095424586875)	('>1k', 73.05377782023116)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917111_2	(1.0, 6.352087114337568)	(2.0, 1.9295061610469004)	(3.0, 1.1462412837902378)	(4.0, 0.7641608558601586)	(5.0, 0.5731206418951189)	(6.0, 0.7450568344636546)	(7.0, 0.4680485242143471)	(8.0, 0.07641608558601586)	(9.0, 0.5158085777056071)	('>10', 6.084630814786513)	('>50', 5.033909637978795)	('>100', 31.855955678670362)	('>500', 30.088833699493744)	('>1k', 14.36622409017098)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917112_1	(1.0, 17.150890346766634)	(2.0, 5.435801312089971)	(3.0, 4.217432052483598)	(4.0, 1.1246485473289598)	(5.0, 1.4058106841611997)	(6.0, 1.6869728209934396)	(7.0, 0.6560449859418931)	(8.0, 0.7497656982193065)	(9.0, 0.0)	('>10', 27.553889409559513)	('>50', 29.615745079662602)	('>100', 10.402999062792876)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917112_2	(1.0, 28.116213683223997)	(2.0, 6.185567010309279)	(3.0, 5.623242736644799)	(4.0, 4.123711340206185)	(5.0, 3.748828491096532)	(6.0, 1.6869728209934396)	(7.0, 5.248359887535145)	(8.0, 4.498594189315839)	(9.0, 5.904404873477039)	('>10', 34.864104967197754)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917113_1	(1.0, 4.511278195488721)	(2.0, 2.3662096417514373)	(3.0, 1.7249004865103934)	(4.0, 1.7249004865103934)	(5.0, 1.105705440070765)	(6.0, 1.45953118089341)	(7.0, 1.1609907120743035)	(8.0, 1.149933657673596)	(9.0, 0.796107916850951)	('>10', 17.812914639540026)	('>50', 0.6081379920389208)	('>100', 18.752764263600177)	('>500', 8.779301194161876)	('>1k', 38.04732419283503)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917113_2	(1.0, 12.649270234409554)	(2.0, 4.489164086687306)	(3.0, 3.847854931446263)	(4.0, 2.5652366209641753)	(5.0, 1.9902697921273773)	(6.0, 1.7249004865103934)	(7.0, 1.393188854489164)	(8.0, 0.9730207872622734)	(9.0, 0.9951348960636887)	('>10', 16.784608580274217)	('>50', 5.053073861123396)	('>100', 47.534276868642195)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917114_1	(1.0, 5.450359712230216)	(2.0, 1.5654676258992806)	(3.0, 1.1223021582733812)	(4.0, 0.6676258992805755)	(5.0, 0.8920863309352519)	(6.0, 0.37985611510791367)	(7.0, 0.24172661870503595)	(8.0, 0.23021582733812948)	(9.0, 0.10359712230215827)	('>10', 3.476258992805755)	('>50', 5.03021582733813)	('>100', 16.546762589928058)	('>500', 35.38992805755395)	('>1k', 28.90359712230216)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917114_2	(1.0, 21.364028776978415)	(2.0, 3.4417266187050357)	(3.0, 1.4848920863309352)	(4.0, 0.7136690647482015)	(5.0, 0.8057553956834532)	(6.0, 0.5870503597122302)	(7.0, 0.2820143884892086)	(8.0, 0.7366906474820144)	(9.0, 0.46618705035971225)	('>10', 8.85179856115108)	('>50', 11.798561151079138)	('>100', 46.48633093525179)	('>500', 2.981294964028777)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917115_1	(1.0, 6.855142703284868)	(2.0, 2.2078621432417878)	(3.0, 1.680129240710824)	(4.0, 1.098546042003231)	(5.0, 0.942380183091007)	(6.0, 0.8077544426494345)	(7.0, 0.6408185245018847)	(8.0, 0.4308023694130318)	(9.0, 0.43618739903069464)	('>10', 7.3021001615508885)	('>50', 5.5842757135164245)	('>100', 25.584275713516426)	('>500', 19.90845449649973)	('>1k', 26.52127086698977)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917115_2	(1.0, 19.488422186322023)	(2.0, 3.9418416801292406)	(3.0, 2.552504038772213)	(4.0, 1.6370490037695207)	(5.0, 1.6424340333871836)	(6.0, 0.678513731825525)	(7.0, 0.9800753904146473)	(8.0, 0.6892837910608508)	(9.0, 1.0177705977382876)	('>10', 16.89822294022617)	('>50', 15.250403877221325)	('>100', 32.067851373182556)	('>500', 3.1556273559504575)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917116_1	(1.0, 6.133485128788957)	(2.0, 1.8215454674825673)	(3.0, 1.1697737298989612)	(4.0, 0.751387505336559)	(5.0, 0.5407713106588872)	(6.0, 0.512309662729472)	(7.0, 0.4980788387647645)	(8.0, 0.2960011384659172)	(9.0, 0.4098477301835777)	('>10', 7.792799203073858)	('>50', 4.653479436459371)	('>100', 25.96840757079835)	('>500', 10.237654760210617)	('>1k', 39.214458517148145)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917116_2	(1.0, 16.5305251174043)	(2.0, 3.3926284331862817)	(3.0, 2.1773160666002562)	(4.0, 1.5255443290166502)	(5.0, 1.053080973388359)	(6.0, 1.0416963142165931)	(7.0, 0.9563113704283479)	(8.0, 0.8196954603671553)	(9.0, 0.8196954603671553)	('>10', 15.096058061761777)	('>50', 8.32218585456098)	('>100', 41.935392059200225)	('>500', 6.329870499501922)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917117_1	(1.0, 11.808392127738582)	(2.0, 2.995420225275405)	(3.0, 2.636464909023394)	(4.0, 1.3863101869043197)	(5.0, 1.1139992573338284)	(6.0, 1.188265874489417)	(7.0, 0.34657754672607993)	(8.0, 0.29706646862235425)	(9.0, 0.77979948013368)	('>10', 6.287906919173166)	('>50', 7.8103725708627305)	('>100', 14.48199034533977)	('>500', 48.86743408837727)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917117_2	(1.0, 16.57383339522218)	(2.0, 3.8618640920906055)	(3.0, 2.3393984404010397)	(4.0, 1.3367991088005942)	(5.0, 1.2377769525931428)	(6.0, 1.188265874489417)	(7.0, 0.6931550934521599)	(8.0, 1.5843544993192227)	(9.0, 0.6683995544002971)	('>10', 12.377769525931427)	('>50', 23.703428642158684)	('>100', 34.434954821141226)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917118_1	(1.0, 9.992462582104016)	(2.0, 3.3595348336384196)	(3.0, 1.9058899536987188)	(4.0, 2.368902767309142)	(5.0, 1.2921287821686227)	(6.0, 1.2275223430601918)	(7.0, 0.8291159685581997)	(8.0, 0.43070959405620757)	(9.0, 0.5814579519758802)	('>10', 12.512113707332832)	('>50', 3.413373532895445)	('>100', 7.494346936578013)	('>500', 28.276084849790028)	('>1k', 26.316356196834285)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917118_2	(1.0, 16.05470011844514)	(2.0, 4.264024981156455)	(3.0, 3.230321955421557)	(4.0, 2.1104770108754174)	(5.0, 1.6151609777107785)	(6.0, 1.7443738559276407)	(7.0, 1.130612684397545)	(8.0, 0.8614191881124151)	(9.0, 0.2907289759879401)	('>10', 7.128243781630236)	('>50', 16.937654786260364)	('>100', 44.63228168407451)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917119_1	(1.0, 5.784526391901663)	(2.0, 1.7594601108700894)	(3.0, 1.3015184381778742)	(4.0, 1.2051096649795132)	(5.0, 1.2954928898529765)	(6.0, 1.0845986984815619)	(7.0, 1.096649795131357)	(8.0, 0.5784526391901663)	(9.0, 0.3796095444685466)	('>10', 12.388527355989396)	('>50', 3.5309713183899736)	('>100', 3.8322487346348515)	('>500', 9.116654615570017)	('>1k', 56.64617980236202)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917119_2	(1.0, 18.233309231140034)	(2.0, 4.772234273318872)	(3.0, 2.675343456254519)	(4.0, 1.8317666907688601)	(5.0, 1.38587611472644)	(6.0, 1.2292118582791034)	(7.0, 0.9701132803085081)	(8.0, 1.2051096649795132)	(9.0, 0.6507592190889371)	('>10', 6.025548324897565)	('>50', 4.38057363220053)	('>100', 41.160520607375275)	('>500', 9.327548806941431)	('>1k', 6.152084839720414)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917120_1	(1.0, 2.950871134829697)	(2.0, 0.7220216606498195)	(3.0, 0.5650604300737718)	(4.0, 0.18835347669125727)	(5.0, 0.47088369172814315)	(6.0, 0.5650604300737718)	(7.0, 0.3296185842097002)	(8.0, 0.25113796892167634)	(9.0, 0.42379532255532887)	('>10', 6.435410453617957)	('>50', 6.796421283942866)	('>100', 10.877413278920105)	('>500', 25.710249568356613)	('>1k', 43.713702715429285)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917120_2	(1.0, 6.18427248469628)	(2.0, 1.4754355674148485)	(3.0, 1.1301208601475436)	(4.0, 0.6906294145346099)	(5.0, 0.3924030764401193)	(6.0, 0.6592371684194004)	(7.0, 0.3296185842097002)	(8.0, 1.1301208601475436)	(9.0, 0.8475906451106577)	('>10', 18.866739915240935)	('>50', 8.083503374666458)	('>100', 48.62658923245958)	('>500', 11.583738816512321)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917121_1	(1.0, 9.49631340499245)	(2.0, 2.345207426490184)	(3.0, 1.2525539664208936)	(4.0, 1.2436706049569157)	(5.0, 1.1992537976370259)	(6.0, 1.385804388380563)	(7.0, 1.4924047259482989)	(8.0, 0.56853513369459)	(9.0, 0.47970151905481034)	('>10', 12.56107311006485)	('>50', 6.893488496046904)	('>100', 11.628320156347161)	('>500', 7.595274051701163)	('>1k', 41.85839921826419)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917121_2	(1.0, 14.026827751621212)	(2.0, 4.743715021764236)	(3.0, 2.93150928311273)	(4.0, 2.4873412099138315)	(5.0, 2.0875899440348227)	(6.0, 1.385804388380563)	(7.0, 1.8655059074353737)	(8.0, 0.852802700541885)	(9.0, 1.0393532912854224)	('>10', 10.837700986053122)	('>50', 7.04450564093453)	('>100', 44.31020698232211)	('>500', 6.387136892600159)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917122_1	(1.0, 2.783661119515885)	(2.0, 0.4034291477559254)	(3.0, 0.7261724659606656)	(4.0, 0.2420574886535552)	(5.0, 0.45385779122541603)	(6.0, 0.4236006051437216)	(7.0, 0.28240040342914774)	(8.0, 0.08068582955118507)	(9.0, 0.1815431164901664)	('>10', 7.766011094301563)	('>50', 5.335350479072113)	('>100', 16.591023701462433)	('>500', 64.73020675743822)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917122_2	(1.0, 7.1003530005042865)	(2.0, 1.2708018154311649)	(3.0, 0.7866868381240545)	(4.0, 0.9682299546142208)	(5.0, 1.361573373676248)	(6.0, 1.0892586989409985)	(7.0, 0.9178013111447302)	(8.0, 1.2909732728189611)	(9.0, 0.6354009077155824)	('>10', 7.705496722138175)	('>50', 4.306606152294503)	('>100', 72.56681795259708)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917123_1	(1.0, 2.3156394727467045)	(2.0, 0.7125044531528322)	(3.0, 0.4275026718916993)	(4.0, 0.04750029687685548)	(5.0, 0.05937537109606934)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 4.619403871274195)	('>50', 0.9500059375371095)	('>100', 0.0)	('>500', 0.0)	('>1k', 90.86806792542454)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917123_2	(1.0, 3.918774492340577)	(2.0, 0.4512528203301271)	(3.0, 0.3562522265764161)	(4.0, 0.3325020781379884)	(5.0, 0.47500296876855475)	(6.0, 0.28500178126113285)	(7.0, 0.5818786367414797)	(8.0, 0.28500178126113285)	(9.0, 0.21375133594584966)	('>10', 1.6268851680323004)	('>50', 1.0450065312908206)	('>100', 57.29723310770692)	('>500', 33.1314570716067)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917124_1	(1.0, 3.4439252336448596)	(2.0, 1.2242990654205608)	(3.0, 0.7009345794392523)	(4.0, 0.7850467289719627)	(5.0, 0.6542056074766356)	(6.0, 0.5046728971962616)	(7.0, 0.3271028037383178)	(8.0, 0.3364485981308411)	(9.0, 0.4205607476635514)	('>10', 6.163551401869158)	('>50', 2.808411214953271)	('>100', 12.186915887850468)	('>500', 19.72429906542056)	('>1k', 50.719626168224295)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917124_2	(1.0, 6.308411214953271)	(2.0, 2.02803738317757)	(3.0, 1.5981308411214954)	(4.0, 1.4579439252336448)	(5.0, 1.3317757009345794)	(6.0, 0.7570093457943925)	(7.0, 0.883177570093458)	(8.0, 0.5233644859813085)	(9.0, 1.1355140186915889)	('>10', 12.462616822429906)	('>50', 6.373831775700935)	('>100', 40.691588785046726)	('>500', 18.55607476635514)	('>1k', 5.892523364485982)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917125_1	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917125_2	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917126_1	(1.0, 9.237637362637363)	(2.0, 5.013736263736264)	(3.0, 2.8846153846153846)	(4.0, 3.4340659340659343)	(5.0, 2.5755494505494503)	(6.0, 2.2664835164835164)	(7.0, 2.403846153846154)	(8.0, 1.9230769230769231)	(9.0, 1.8543956043956045)	('>10', 23.592032967032967)	('>50', 8.653846153846153)	('>100', 36.160714285714285)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917126_2	(1.0, 19.09340659340659)	(2.0, 7.486263736263736)	(3.0, 7.623626373626374)	(4.0, 3.983516483516483)	(5.0, 5.322802197802198)	(6.0, 3.296703296703297)	(7.0, 2.8846153846153846)	(8.0, 2.197802197802198)	(9.0, 2.4725274725274726)	('>10', 26.407967032967033)	('>50', 15.178571428571427)	('>100', 4.052197802197802)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917127_1	(1.0, 4.829182630906769)	(2.0, 1.516602809706258)	(3.0, 0.8620689655172413)	(4.0, 0.8939974457215836)	(5.0, 0.33924010217113665)	(6.0, 0.33524904214559387)	(7.0, 0.3073116219667944)	(8.0, 0.2554278416347382)	(9.0, 0.17959770114942528)	('>10', 3.571998722860792)	('>50', 2.023467432950192)	('>100', 9.594508301404852)	('>500', 8.6286717752235)	('>1k', 66.66267560664112)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917127_2	(1.0, 12.280491698595148)	(2.0, 2.386653895274585)	(3.0, 1.1853448275862069)	(4.0, 0.7343550446998722)	(5.0, 0.6186143039591315)	(6.0, 0.4549808429118774)	(7.0, 0.4469987228607918)	(8.0, 0.31928480204342274)	(9.0, 0.43103448275862066)	('>10', 9.05970625798212)	('>50', 0.49489144316730527)	('>100', 48.89846743295019)	('>500', 22.689176245210728)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917128_1	(1.0, 6.616702355460386)	(2.0, 1.563169164882227)	(3.0, 1.2526766595289078)	(4.0, 0.556745182012848)	(5.0, 0.5353319057815845)	(6.0, 0.44967880085653106)	(7.0, 0.07494646680942184)	(8.0, 0.08565310492505353)	(9.0, 0.4817987152034261)	('>10', 12.494646680942184)	('>50', 4.079229122055675)	('>100', 29.689507494646683)	('>500', 30.396145610278374)	('>1k', 11.723768736616702)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917128_2	(1.0, 15.728051391862955)	(2.0, 2.71948608137045)	(3.0, 1.734475374732334)	(4.0, 1.5845824411134906)	(5.0, 1.2312633832976445)	(6.0, 1.0278372591006424)	(7.0, 1.1241970021413277)	(8.0, 1.113490364025696)	(9.0, 0.3854389721627409)	('>10', 15.460385438972162)	('>50', 19.518201284796575)	('>100', 38.37259100642398)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917129_1	(1.0, 5.657753334597635)	(2.0, 2.149314115936532)	(3.0, 0.9482268158543524)	(4.0, 1.0873000821796575)	(5.0, 0.8534041342689171)	(6.0, 0.6827233074151338)	(7.0, 0.4425058473986978)	(8.0, 0.30343258107339277)	(9.0, 0.45514887161008916)	('>10', 7.339275554712687)	('>50', 2.895252544408623)	('>100', 15.816423288450599)	('>500', 0.0)	('>1k', 61.369239522093686)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917129_2	(1.0, 13.9073266325305)	(2.0, 2.7814653265061002)	(3.0, 1.611985586952399)	(4.0, 1.2390163727163537)	(5.0, 0.7901890132119603)	(6.0, 0.6447942347809597)	(7.0, 0.6637587710980467)	(8.0, 0.657437258992351)	(9.0, 0.5689360895126114)	('>10', 13.319426006700802)	('>50', 10.19027751438144)	('>100', 40.716859472785885)	('>500', 12.908527719830584)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917130_1	(1.0, 5.481943361912185)	(2.0, 2.0394907768251493)	(3.0, 1.2470771628994544)	(4.0, 0.831384775266303)	(5.0, 1.0392309690828787)	(6.0, 0.8183943881527669)	(7.0, 0.6365289685632632)	(8.0, 0.5196154845414394)	(9.0, 0.2922837100545596)	('>10', 3.6892699402442193)	('>50', 1.4679137438295662)	('>100', 9.755780722265524)	('>500', 0.0)	('>1k', 72.1810859963627)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917130_2	(1.0, 12.802026500389713)	(2.0, 3.0007794232268123)	(3.0, 1.4224473889321902)	(4.0, 0.805404001039231)	(5.0, 0.48713951675759937)	(6.0, 0.5066250974279034)	(7.0, 0.3182644842816316)	(8.0, 0.36373083917900756)	(9.0, 0.40919719407638344)	('>10', 7.956612107040789)	('>50', 4.858404780462458)	('>100', 34.482982592881264)	('>500', 24.188100805404)	('>1k', 8.398285268901013)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917131_1	(1.0, 5.333755140778234)	(2.0, 2.3030686491616574)	(3.0, 1.5564694716861753)	(4.0, 0.9364125276811136)	(5.0, 1.0756089844985763)	(6.0, 0.8731414109459033)	(7.0, 0.7086365074343562)	(8.0, 0.7086365074343562)	(9.0, 0.5694400506168934)	('>10', 8.396077190762417)	('>50', 0.39228092375830437)	('>100', 0.0)	('>500', 0.0)	('>1k', 77.14647263524202)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917131_2	(1.0, 15.102815564694716)	(2.0, 3.7962670041126225)	(3.0, 2.144890857323632)	(4.0, 1.2654223347042075)	(5.0, 1.0756089844985763)	(6.0, 0.6074027206580196)	(7.0, 0.6643467257197089)	(8.0, 0.7086365074343562)	(9.0, 0.34166403037013604)	('>10', 7.731730465042707)	('>50', 2.714330907940525)	('>100', 30.148687124327743)	('>500', 24.922492881999368)	('>1k', 8.775703891173679)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917132_1	(1.0, 6.21808143547274)	(2.0, 2.111801242236025)	(3.0, 1.6770186335403725)	(4.0, 1.2974465148378194)	(5.0, 1.3802622498274673)	(6.0, 1.0351966873706004)	(7.0, 1.3043478260869565)	(8.0, 1.3250517598343685)	(9.0, 1.2422360248447204)	('>10', 18.971704623878537)	('>50', 8.357487922705314)	('>100', 0.0)	('>500', 0.0)	('>1k', 55.07936507936508)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917132_2	(1.0, 18.619737750172533)	(2.0, 5.6314699792960665)	(3.0, 3.7888198757763973)	(4.0, 2.650103519668737)	(5.0, 2.7950310559006213)	(6.0, 1.9461697722567288)	(7.0, 2.077294685990338)	(8.0, 1.1594202898550725)	(9.0, 1.6770186335403725)	('>10', 11.718426501035196)	('>50', 0.6349206349206349)	('>100', 40.34506556245687)	('>500', 0.0)	('>1k', 6.956521739130435)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917133_1	(1.0, 6.726756801869471)	(2.0, 1.8778167250876314)	(3.0, 1.2643965948923384)	(4.0, 1.1517275913870806)	(5.0, 0.7511266900350526)	(6.0, 0.6760140210315473)	(7.0, 0.7010515773660491)	(8.0, 0.5007511266900351)	(9.0, 0.6009013520280421)	('>10', 10.603405107661493)	('>50', 3.7514605241195125)	('>100', 12.456184276414623)	('>500', 9.84810549157069)	('>1k', 49.090302119846434)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917133_2	(1.0, 14.72625605074278)	(2.0, 3.1797696544817224)	(3.0, 1.9153730595893843)	(4.0, 1.585711901185111)	(5.0, 1.0015022533800702)	(6.0, 1.0766149223835753)	(7.0, 0.8471039893173092)	(8.0, 0.6009013520280421)	(9.0, 0.8262393590385578)	('>10', 12.28926723418461)	('>50', 10.474044399933232)	('>100', 32.51126690035053)	('>500', 14.129527624770489)	('>1k', 4.836421298614589)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917134_1	(1.0, 22.608695652173914)	(2.0, 10.434782608695652)	(3.0, 2.608695652173913)	(4.0, 6.956521739130435)	(5.0, 4.3478260869565215)	(6.0, 5.217391304347826)	(7.0, 0.0)	(8.0, 13.91304347826087)	(9.0, 0.0)	('>10', 33.91304347826087)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917134_2	(1.0, 44.34782608695652)	(2.0, 22.608695652173914)	(3.0, 15.65217391304348)	(4.0, 6.956521739130435)	(5.0, 0.0)	(6.0, 10.434782608695652)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917135_1	(1.0, 2.039894926941389)	(2.0, 0.7305861106550648)	(3.0, 0.41865046790346416)	(4.0, 0.16417665407978985)	(5.0, 0.12313249055984239)	(6.0, 0.19701198489574784)	(7.0, 0.028730914463963222)	(8.0, 0.06567066163191594)	(9.0, 0.036939747167952716)	('>10', 1.5925135445739615)	('>50', 0.7141684452470858)	('>100', 7.839435232309966)	('>500', 13.09308816286324)	('>1k', 72.95600065670662)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917135_2	(1.0, 3.2301756690198657)	(2.0, 0.4679034641274011)	(3.0, 0.2832047282876375)	(4.0, 0.19701198489574784)	(5.0, 0.08208832703989492)	(6.0, 0.04925299622393696)	(7.0, 0.20111640124774255)	(8.0, 0.13134132326383188)	(9.0, 0.14775898867181086)	('>10', 3.8663602035790507)	('>50', 4.8432112953538)	('>100', 23.72763093088163)	('>500', 51.65407978985388)	('>1k', 11.11886389755377)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917136_1	(1.0, 3.3639143730886847)	(2.0, 0.7135575942915392)	(3.0, 0.45871559633027525)	(4.0, 0.0)	(5.0, 0.254841997961264)	(6.0, 0.3058103975535168)	(7.0, 0.3567787971457696)	(8.0, 0.0)	(9.0, 0.0)	('>10', 3.4658511722731906)	('>50', 0.0)	('>100', 34.403669724770644)	('>500', 56.67686034658511)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917136_2	(1.0, 6.218144750254842)	(2.0, 1.6309887869520898)	(3.0, 2.4464831804281344)	(4.0, 0.8154943934760449)	(5.0, 1.019367991845056)	(6.0, 0.9174311926605505)	(7.0, 1.4271151885830784)	(8.0, 0.8154943934760449)	(9.0, 0.45871559633027525)	('>10', 20.998980632008156)	('>50', 22.52803261977574)	('>100', 40.72375127420999)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917137_1	(1.0, 4.697872340425532)	(2.0, 2.348936170212766)	(3.0, 1.5319148936170213)	(4.0, 0.6127659574468085)	(5.0, 0.7659574468085106)	(6.0, 0.6127659574468085)	(7.0, 1.1914893617021276)	(8.0, 0.2723404255319149)	(9.0, 0.30638297872340425)	('>10', 0.9361702127659575)	('>50', 0.0)	('>100', 0.0)	('>500', 16.629787234042553)	('>1k', 70.0936170212766)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917137_2	(1.0, 9.617021276595745)	(2.0, 2.7914893617021277)	(3.0, 1.0723404255319149)	(4.0, 0.5446808510638298)	(5.0, 0.3404255319148936)	(6.0, 0.30638297872340425)	(7.0, 0.4765957446808511)	(8.0, 0.6808510638297872)	(9.0, 0.15319148936170213)	('>10', 5.0212765957446805)	('>50', 1.6170212765957446)	('>100', 77.37872340425533)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917138_1	(1.0, 5.740907724676886)	(2.0, 2.4346257889990985)	(3.0, 1.4427412082957618)	(4.0, 1.142170123234145)	(5.0, 0.6762849413886384)	(6.0, 1.0820559062218216)	(7.0, 1.1571986774872258)	(8.0, 0.9618274721971746)	(9.0, 1.2173128944995493)	('>10', 12.954613766155695)	('>50', 0.0)	('>100', 0.0)	('>500', 13.420498948001203)	('>1k', 57.769762548842806)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917138_2	(1.0, 9.032161106101592)	(2.0, 3.997595431319507)	(3.0, 3.787195671776375)	(4.0, 2.4045686804929365)	(5.0, 2.3294259092275325)	(6.0, 2.7953110910730388)	(7.0, 0.9467989179440938)	(8.0, 0.9618274721971746)	(9.0, 0.8115419296663661)	('>10', 6.928163510670274)	('>50', 0.0)	('>100', 66.0054102795311)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917139_1	(1.0, 8.063519525457242)	(2.0, 2.249134948096886)	(3.0, 1.5941670785961444)	(4.0, 0.8156203657933762)	(5.0, 0.5252100840336135)	(6.0, 0.5190311418685121)	(7.0, 0.4757785467128028)	(8.0, 0.4448838358872961)	(9.0, 0.22244191794364804)	('>10', 4.640385565991102)	('>50', 7.031636183885319)	('>100', 7.519772614928325)	('>500', 10.257043994068216)	('>1k', 55.641374196737516)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917139_2	(1.0, 11.826495304003954)	(2.0, 2.459218981710331)	(3.0, 0.9268413247652003)	(4.0, 0.9391992090954029)	(5.0, 0.8341571922886802)	(6.0, 0.5190311418685121)	(7.0, 0.6055363321799307)	(8.0, 0.8403361344537815)	(9.0, 0.8897676717745922)	('>10', 9.132476520019772)	('>50', 5.282995551161641)	('>100', 57.64335145823035)	('>500', 8.10059317844785)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
