Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11917053_1	(1.0, 3.1372549019607843)	(2.0, 0.8556149732620321)	(3.0, 0.32085561497326204)	(4.0, 0.38027332144979203)	(5.0, 0.4753416518122401)	(6.0, 0.28520499108734404)	(7.0, 0.4991087344028521)	(8.0, 0.28520499108734404)	(9.0, 0.32085561497326204)	('>10', 8.960190136660724)	('>50', 3.1966726084373143)	('>100', 17.290552584670234)	('>500', 50.98039215686274)	('>1k', 13.01247771836007)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917053_2	(1.0, 6.452762923351159)	(2.0, 1.5686274509803921)	(3.0, 1.1051693404634582)	(4.0, 0.9031491384432562)	(5.0, 1.3071895424836601)	(6.0, 0.4991087344028521)	(7.0, 0.7486631016042781)	(8.0, 0.19013666072489602)	(9.0, 0.7486631016042781)	('>10', 9.815805109922756)	('>50', 22.828282828282827)	('>100', 53.83244206773619)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917054_1	(1.0, 2.6826115061409177)	(2.0, 0.6464124111182934)	(3.0, 0.3393665158371041)	(4.0, 0.4524886877828055)	(5.0, 0.3232062055591467)	(6.0, 0.3878474466709761)	(7.0, 0.4524886877828055)	(8.0, 0.25856496444731736)	(9.0, 0.2908855850032321)	('>10', 2.4078862314156435)	('>50', 2.343244990303814)	('>100', 33.50032320620556)	('>500', 36.16677440206852)	('>1k', 19.747899159663866)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917054_2	(1.0, 5.284421460892049)	(2.0, 0.904977375565611)	(3.0, 0.3878474466709761)	(4.0, 0.3232062055591467)	(5.0, 0.24240465416936005)	(6.0, 0.3878474466709761)	(7.0, 0.22624434389140274)	(8.0, 0.25856496444731736)	(9.0, 0.14544279250161604)	('>10', 16.031027795733678)	('>50', 22.70523594053006)	('>100', 44.440853264382675)	('>500', 8.661926308985132)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917055_1	(1.0, 5.877342419080068)	(2.0, 1.8171493469619535)	(3.0, 0.7666098807495741)	(4.0, 1.0221465076660987)	(5.0, 0.8517887563884157)	(6.0, 1.192504258943782)	(7.0, 0.3975014196479273)	(8.0, 0.6814310051107325)	(9.0, 0.7666098807495741)	('>10', 17.745599091425326)	('>50', 0.0)	('>100', 26.71777399204997)	('>500', 42.16354344122657)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917055_2	(1.0, 10.81771720613288)	(2.0, 3.634298693923907)	(3.0, 3.2367972742759794)	(4.0, 2.72572402044293)	(5.0, 1.5616127200454288)	(6.0, 2.385008517887564)	(7.0, 1.9875070982396368)	(8.0, 1.135718341851221)	(9.0, 1.2776831345826234)	('>10', 7.950028392958547)	('>50', 27.22884724588302)	('>100', 36.05905735377626)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917056_1	(1.0, 3.0335003956739643)	(2.0, 0.9847885342477799)	(3.0, 0.5275652862041678)	(4.0, 0.2813681526422228)	(5.0, 0.3077464169524312)	(6.0, 0.2637826431020839)	(7.0, 0.3692957003429174)	(8.0, 0.1406840763211114)	(9.0, 0.0)	('>10', 1.8904422755649346)	('>50', 3.0510859052141037)	('>100', 3.648993229578827)	('>500', 7.421085025938627)	('>1k', 78.07966235821682)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917056_2	(1.0, 6.445089246460917)	(2.0, 1.63545238723292)	(3.0, 0.6594566077552098)	(4.0, 0.5627363052844456)	(5.0, 0.08792754770069464)	(6.0, 0.4220522289633343)	(7.0, 0.1846478501714587)	(8.0, 0.0703420381605557)	(9.0, 0.3165391717225006)	('>10', 5.627363052844457)	('>50', 0.0)	('>100', 59.21041062164776)	('>500', 24.777982942055747)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917057_1	(1.0, 9.296482412060302)	(2.0, 2.512562814070352)	(3.0, 0.37688442211055273)	(4.0, 0.0)	(5.0, 1.256281407035176)	(6.0, 0.7537688442211055)	(7.0, 0.8793969849246231)	(8.0, 1.0050251256281406)	(9.0, 3.391959798994975)	('>10', 17.462311557788944)	('>50', 6.78391959798995)	('>100', 56.28140703517588)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR11917057_2	(1.0, 13.944723618090451)	(2.0, 7.2864321608040195)	(3.0, 6.030150753768844)	(4.0, 2.512562814070352)	(5.0, 4.396984924623116)	(6.0, 1.507537688442211)	(7.0, 0.8793969849246231)	(8.0, 0.0)	(9.0, 0.0)	('>10', 56.65829145728644)	('>50', 6.78391959798995)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
