.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR11917079_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917080_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917080_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917081_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917081_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917082_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917082_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917083_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917083_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917084_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917084_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917085_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917085_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917086_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917086_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917087_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917087_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917088_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917088_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917089_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917089_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917090_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917090_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917091_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917091_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917092_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917092_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917093_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917093_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917094_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917094_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917095_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917095_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917096_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917096_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917097_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917097_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917098_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917098_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917099_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917099_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917100_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917100_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917101_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917101_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917102_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917103_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917103_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917104_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917104_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
