.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR11917211_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917212_1	1	1	0.25	0.25	0.25	0.5	0.5	0.5	0.25	1
SRR11917212_2	1	1	1	0.25	0.25	0.5	0.5	1	0.25	1
SRR11917213_1	1	0.5	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917213_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917214_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917214_2	1	1	0.5	0.25	0.25	1	0.5	1	0.25	1
SRR11917215_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917215_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917216_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917216_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917217_1	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917217_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917218_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917218_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917219_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917219_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917220_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917220_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917221_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917221_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917222_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917222_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917223_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917223_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917224_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917224_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917225_1	1	1	1	0.25	0.25	0.5	0.5	0.5	0.25	1
SRR11917225_2	1	1	1	0.25	0.25	0.5	0.5	1	0.25	1
SRR11917226_1	1	0.5	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917226_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917227_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917227_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917228_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917228_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917229_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917229_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917230_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917231_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917231_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917232_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917232_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917233_1	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917233_2	1	0.25	0.25	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917234_1	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917234_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917235_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917235_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917236_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917236_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917237_1	1	1	0.25	0.25	0.25	0.25	0.5	1	0.25	1
SRR11917237_2	1	1	0.25	0.25	0.25	0.25	0.5	1	0.25	1
SRR11917238_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917238_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917239_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917239_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917240_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917240_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917241_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917241_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917242_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917242_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917243_1	1	0.5	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917243_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917244_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917244_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917245_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917245_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917246_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917246_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917247_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917247_2	1	0.25	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917248_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917248_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917249_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917249_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917250_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917250_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917251_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917251_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917252_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917252_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917253_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917253_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917254_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917254_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917255_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917255_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917256_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917256_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917257_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917257_2	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR11917258_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917258_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917259_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917259_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917260_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917260_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917261_1	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917261_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917262_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917262_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917263_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917263_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917264_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917264_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917265_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917265_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917266_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917266_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917267_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917267_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917268_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917269_1	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917269_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917270_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917270_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917271_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917271_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917272_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917272_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917273_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917273_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917274_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917274_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917275_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917275_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR11917276_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917276_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917277_1	1	0.25	1	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR11917277_2	1	0.25	0.25	0.25	0.25	0.25	0.5	0.25	0.25	1
SRR11917278_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917278_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917279_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917279_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917280_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917280_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917281_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917281_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917282_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917282_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917283_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917283_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917284_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917284_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917285_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917285_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917286_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917286_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917287_1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917287_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917288_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917288_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917289_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917289_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917290_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917290_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917291_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917291_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917292_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917292_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917293_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917293_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917294_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917294_2	1	0.25	0.5	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917295_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917295_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917296_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917296_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917297_1	1	0.5	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917297_2	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
SRR11917298_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917298_2	1	0.25	0.5	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917299_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917299_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917300_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917300_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917301_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917301_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917302_1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR11917302_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
