Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR11917057,AMPLICON,558,444871,PRJNA635907,SAMN15057913,Metagenome or environmental,326100,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX8463809,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,771qfFC2017,leaf,52.1718 N 106.5052 W,771qfFC2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146-3-L,SRP265801
SRR11917058,AMPLICON,588,2249606,PRJNA635907,SAMN15057912,Metagenome or environmental,1277819,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX8463808,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,822imKI2017,leaf,52.1718 N 106.5052 W,822imKI2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146-2-L,SRP265801
SRR11917059,AMPLICON,579,1138923,PRJNA635907,SAMN15057911,Metagenome or environmental,728193,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX8463807,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,901whLN2017,leaf,52.1718 N 106.5052 W,901whLN2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1146-1-L,SRP265801
SRR11917060,AMPLICON,589,8589824,PRJNA635907,SAMN15057910,Metagenome or environmental,6023417,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8463806,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,10xwRQ2017,leaf,52.1718 N 106.5052 W,10xwRQ2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1131w6-L,SRP265801
SRR11917061,AMPLICON,589,10081457,PRJNA635907,SAMN15057909,Metagenome or environmental,7035886,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX8463805,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,722joXZ2017,leaf,52.1718 N 106.5052 W,722joXZ2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1131w5-L,SRP265801
SRR11917062,AMPLICON,593,6911931,PRJNA635907,SAMN15057855,Metagenome or environmental,5020795,UNIVERSITY OF SASKATCHEWAN,2016,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX8463804,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,784zgPI2017,leaf,52.1718 N 106.5052 W,784zgPI2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1105w3-L,SRP265801
SRR11917063,AMPLICON,583,9126997,PRJNA635907,SAMN15057908,Metagenome or environmental,6555876,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX8463803,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,728yiLB2017,leaf,52.1718 N 106.5052 W,728yiLB2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1131w3-L,SRP265801
SRR11917064,AMPLICON,590,14244684,PRJNA635907,SAMN15057907,Metagenome or environmental,9959460,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX8463802,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,652elNZ2017,leaf,52.1718 N 106.5052 W,652elNZ2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1131w2-L,SRP265801
SRR11917065,AMPLICON,580,91143,PRJNA635907,SAMN15057906,Metagenome or environmental,130404,UNIVERSITY OF SASKATCHEWAN,2016,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX8463801,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,289wsYP2017,leaf,52.1718 N 106.5052 W,289wsYP2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1131-8-L,SRP265801
SRR11917066,AMPLICON,587,4714761,PRJNA635907,SAMN15057905,Metagenome or environmental,2594921,UNIVERSITY OF SASKATCHEWAN,2016,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX8463800,Canada,North America,Canada: Saskatoon,Brassica napus,Illumina MiSeq,455ctAU2017,leaf,52.1718 N 106.5052 W,455ctAU2017,PAIRED,PCR,GENOMIC,leaf metagenome,ILLUMINA,2021-06-22T00:00:00Z,2020-06-03T12:08:00Z,1,1131-7-L,SRP265801
