	SRR11917047	SRR11917048	SRR11917049	SRR11917050	SRR11917051	SRR11917052	SRR11917053	SRR11917054	SRR11917055	SRR11917056	SRR11917057	SRR11917058	SRR11917059	SRR11917060	SRR11917061	SRR11917062	SRR11917063	SRR11917064	SRR11917065	SRR11917066	SRR11917067	SRR11917068	SRR11917069	SRR11917070	SRR11917071	SRR11917072	SRR11917073	SRR11917074	SRR11917075	SRR11917076	SRR11917077	SRR11917078	SRR11917079	SRR11917080	SRR11917081	SRR11917082	SRR11917083	SRR11917084	SRR11917085	SRR11917086	SRR11917087	SRR11917088	SRR11917089	SRR11917090	SRR11917091	SRR11917092	SRR11917093	SRR11917094	SRR11917095	SRR11917096	SRR11917097	SRR11917098	SRR11917099	SRR11917100	SRR11917101	SRR11917103	SRR11917104	SRR11917106	SRR11917107	SRR11917108	SRR11917109	SRR11917110	SRR11917111	SRR11917112	SRR11917113	SRR11917114	SRR11917115	SRR11917116	SRR11917117	SRR11917118	SRR11917119	SRR11917120	SRR11917121	SRR11917122	SRR11917123	SRR11917124	SRR11917125	SRR11917126	SRR11917127	SRR11917128	SRR11917129	SRR11917130	SRR11917131	SRR11917132	SRR11917133	SRR11917134	SRR11917135	SRR11917136	SRR11917137	SRR11917138	SRR11917139	SRR11917140	SRR11917141	SRR11917142	SRR11917143	SRR11917144	SRR11917145	SRR11917146	SRR11917147	SRR11917148	SRR11917149	SRR11917150	SRR11917151	SRR11917152	SRR11917153	SRR11917154	SRR11917155	SRR11917156	SRR11917157	SRR11917158	SRR11917159	SRR11917160	SRR11917161	SRR11917162	SRR11917163	SRR11917164	SRR11917165	SRR11917166	SRR11917167	SRR11917168	SRR11917169	SRR11917170	SRR11917171	SRR11917172	SRR11917173	SRR11917174	SRR11917175	SRR11917176	SRR11917177	SRR11917178	SRR11917179	SRR11917180	SRR11917181	SRR11917182	SRR11917183	SRR11917184	SRR11917185	SRR11917186	SRR11917187	SRR11917188	SRR11917189	SRR11917190	SRR11917191	SRR11917192	SRR11917193	SRR11917194	SRR11917195	SRR11917196	SRR11917197	SRR11917198	SRR11917199	SRR11917200	SRR11917201	SRR11917202	SRR11917203	SRR11917204	SRR11917205	SRR11917206	SRR11917207	SRR11917208	SRR11917209	SRR11917210	SRR11917211	SRR11917212	SRR11917213	SRR11917214	SRR11917215	SRR11917216	SRR11917217	SRR11917218	SRR11917219	SRR11917220	SRR11917221	SRR11917222	SRR11917223	SRR11917224	SRR11917225	SRR11917226	SRR11917227	SRR11917228	SRR11917229	SRR11917231	SRR11917232	SRR11917233	SRR11917234	SRR11917235	SRR11917236	SRR11917237	SRR11917238	SRR11917239	SRR11917240	SRR11917241	SRR11917242	SRR11917243	SRR11917244	SRR11917245	SRR11917246	SRR11917247	SRR11917248	SRR11917249	SRR11917250	SRR11917251	SRR11917252	SRR11917253	SRR11917254	SRR11917255	SRR11917256	SRR11917257	SRR11917258	SRR11917259	SRR11917260	SRR11917261	SRR11917262	SRR11917263	SRR11917264	SRR11917265	SRR11917266	SRR11917267	SRR11917269	SRR11917270	SRR11917271	SRR11917272	SRR11917273	SRR11917274	SRR11917275	SRR11917276	SRR11917277	SRR11917278	SRR11917279	SRR11917280	SRR11917281	SRR11917282	SRR11917283	SRR11917284	SRR11917285	SRR11917286	SRR11917287	SRR11917288	SRR11917289	SRR11917290	SRR11917291	SRR11917292	SRR11917293	SRR11917294	SRR11917295	SRR11917296	SRR11917297	SRR11917298	SRR11917299	SRR11917300	SRR11917301	SRR11917302
ASV_0011	192	21	0	0	0	0	40	119	0	0	0	0	0	59	23	0	0	0	0	56	0	58	0	619	0	0	0	0	88	0	0	0	0	0	53	0	104	0	0	53	0	0	46	0	65	0	0	0	0	0	51	198	0	0	0	47	0	0	0	0	0	51	0	0	0	55	30	94	0	0	0	23	0	40	229	0	0	0	78	0	0	0	0	34	0	0	208	0	0	0	109	0	0	0	0	0	85	0	0	0	130	0	0	45	0	0	0	38	225	0	0	0	74	0	227	0	0	0	0	60	0	0	0	40	0	0	0	396	89	54	0	22	0	0	0	0	0	37	0	104	0	0	0	0	0	0	0	31	0	0	0	0	105	12	41	0	0	0	21	39	0	47	64	0	0	0	0	140	0	0	0	0	103	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	684	0	43	350	0	0	0	0	0	0	27	0	30	0	0	50	197	0	0	0	0	35	0	59	0	0	64	845	0	253	40	0	0	53	70	0	0	0	0	63	107	0	74	0	0	64	55	0	0	0	0	39	40	259	0	0	0	0	206	0	346	0	0
ASV_0012	195	22	0	21	0	0	36	84	0	0	0	0	0	30	19	0	26	0	0	26	0	54	0	338	0	0	0	0	75	0	0	0	0	0	67	0	85	40	0	39	0	0	16	0	43	0	0	0	0	0	53	212	0	0	0	54	0	0	0	0	0	45	0	0	0	43	21	39	0	0	0	20	0	37	147	0	0	0	147	52	12	0	0	0	38	0	271	0	0	0	80	56	0	0	0	58	53	0	0	0	167	0	0	42	0	0	0	46	262	0	0	0	56	0	265	0	0	0	0	64	0	0	0	33	0	0	0	349	46	32	0	30	0	0	19	0	0	24	0	88	0	0	0	0	0	0	0	29	0	0	0	0	119	27	51	0	0	0	27	28	0	22	103	0	0	0	0	101	0	0	0	0	78	0	0	0	0	0	33	0	0	18	0	0	0	0	0	0	0	446	0	26	208	0	0	0	0	0	0	21	0	20	0	0	26	216	0	0	0	0	30	0	26	0	0	72	1086	0	161	78	0	0	8	68	0	0	0	0	47	124	0	31	0	0	25	38	0	0	0	0	29	22	286	0	0	0	0	122	0	399	0	0
ASV_0013	161	32	0	0	0	0	31	85	0	0	0	0	0	49	13	0	19	0	0	48	0	66	0	698	0	0	0	0	93	0	0	0	0	0	56	0	90	0	0	56	0	0	18	0	42	0	0	0	0	0	58	156	0	0	0	44	39	0	0	0	0	61	65	0	0	64	37	72	0	0	0	36	0	26	154	0	0	0	57	24	26	0	0	0	16	0	205	0	0	0	83	0	0	0	0	0	75	0	0	0	101	0	0	60	0	0	0	28	210	0	0	0	58	0	213	0	0	0	0	41	0	0	0	22	0	0	0	343	78	48	0	13	0	0	0	0	0	39	10	100	0	0	0	0	0	0	0	22	0	0	0	0	97	10	24	0	0	0	28	41	0	32	75	0	0	0	0	110	0	0	0	0	95	11	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	593	0	24	308	0	0	0	0	0	0	61	0	26	0	0	43	155	0	0	0	0	35	0	78	0	0	43	714	0	201	33	0	0	22	60	0	0	0	0	52	75	0	70	0	0	84	23	0	0	0	0	24	30	255	0	0	0	0	150	0	232	0	0
ASV_0014	186	65	0	0	0	0	23	50	0	0	0	0	0	50	43	0	0	0	0	33	33	56	0	457	0	0	0	0	92	0	0	0	0	0	48	0	109	0	0	39	0	0	70	0	37	0	0	0	0	0	42	168	0	0	0	46	0	0	0	0	0	72	0	0	0	46	48	48	0	0	0	19	0	22	175	0	0	0	80	40	29	0	0	0	17	0	171	0	0	0	79	0	0	0	0	0	81	0	0	0	144	0	0	55	0	0	0	51	215	0	0	0	47	0	216	0	0	0	0	70	0	0	0	27	0	0	0	400	85	40	0	20	0	0	0	0	0	39	0	100	0	0	0	0	0	0	0	54	0	0	0	0	80	17	33	0	0	0	25	39	0	57	79	0	0	0	0	154	0	0	0	0	62	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	482	0	20	254	0	0	0	0	0	0	55	0	41	0	0	31	146	0	0	0	0	58	0	46	0	0	38	674	0	197	40	0	0	11	37	0	0	0	0	64	109	0	44	0	0	45	29	0	0	0	0	31	27	263	0	0	0	0	181	0	335	0	0
ASV_0015	158	54	0	0	0	0	37	40	0	0	0	0	0	60	75	0	55	0	0	21	0	46	0	371	0	0	0	0	47	0	0	0	0	0	70	0	67	0	0	68	0	0	36	0	28	0	0	0	0	0	46	152	0	0	0	51	0	0	0	0	0	54	0	0	0	31	50	78	0	0	0	7	0	33	93	0	0	0	93	0	15	0	0	0	61	0	242	0	0	0	73	0	0	0	0	0	65	0	0	0	132	53	0	45	0	0	0	34	186	0	0	0	28	0	227	0	0	0	0	83	0	53	0	33	0	0	0	270	55	62	0	22	0	0	0	0	0	36	0	79	0	0	0	0	0	0	0	40	0	0	0	0	120	13	34	0	0	0	30	50	0	24	99	0	0	0	0	121	0	0	0	0	71	0	0	0	0	45	0	0	0	11	0	0	0	0	0	0	0	299	0	16	175	0	0	0	0	0	0	21	0	82	0	0	52	209	0	0	0	0	22	0	93	0	0	70	898	0	166	45	0	0	72	40	0	0	0	0	50	118	0	34	0	0	40	19	0	0	0	0	57	30	249	0	0	0	0	148	0	397	0	0
ASV_0016	39	455	150	131	0	0	15	0	49	177	0	0	22	0	0	0	0	0	0	0	0	0	277	256	44	269	0	0	27	268	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	434	114	0	0	1337	41	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	177	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	96	168	71	30	0	46	239	127	0	0	32	0	497	0	14	41	108	28	115	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	93	0	192	93	339	70	0	129	0	307	38	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0017	49	443	104	149	0	0	11	0	55	129	0	0	50	0	0	0	0	0	0	0	0	0	317	264	51	214	0	0	0	384	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	376	116	0	0	1294	35	0	0	38	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	86	188	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	150	81	23	0	46	203	231	0	0	44	0	422	0	52	33	128	36	102	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	93	0	151	91	301	86	28	200	0	379	34	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0018	173	21	0	0	0	0	24	97	0	0	0	0	0	29	31	0	0	0	0	25	0	55	0	405	0	0	0	0	99	0	0	0	0	0	46	0	98	0	0	49	0	0	45	0	22	0	0	0	0	0	48	162	0	0	0	37	0	0	0	0	0	41	0	0	0	42	33	69	0	0	0	18	0	12	197	0	0	0	64	0	0	0	0	0	0	0	167	0	0	0	94	0	0	0	0	0	64	0	0	0	111	0	0	52	0	0	0	33	235	0	0	0	66	0	185	0	0	0	0	45	0	0	0	27	0	0	0	382	65	33	0	13	0	0	0	0	0	38	0	122	0	0	0	0	0	0	0	31	0	0	0	0	103	20	27	0	0	0	20	22	94	47	56	0	0	0	0	134	0	0	0	0	100	0	10	0	0	0	0	0	0	30	0	0	0	0	0	0	0	563	0	36	259	0	0	0	0	0	0	26	0	21	0	0	27	150	0	0	0	0	46	0	31	0	0	54	698	0	244	34	0	0	29	42	0	0	0	0	58	109	0	55	0	0	43	46	0	0	0	0	45	22	290	0	0	0	0	156	0	282	0	0
ASV_0019	33	452	111	140	0	0	33	0	40	144	0	0	18	0	24	0	0	0	0	0	0	0	268	220	53	252	0	0	0	250	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	412	121	28	0	1364	42	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	56	163	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	153	94	27	0	39	227	110	0	0	29	0	485	0	24	40	82	53	135	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	162	101	316	81	0	168	0	310	44	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0020	176	34	0	0	0	0	19	59	0	0	0	0	0	52	0	21	26	0	28	23	0	56	0	548	0	0	0	0	87	0	0	0	0	0	56	0	84	0	0	45	0	0	0	0	38	0	0	0	0	0	41	149	0	0	0	34	0	0	0	0	0	49	0	0	0	33	30	52	0	0	0	19	0	30	151	0	0	0	66	0	15	0	0	0	0	0	158	0	0	0	78	0	0	0	0	0	75	0	0	0	129	0	0	39	0	0	0	35	214	0	0	0	66	0	213	0	0	0	0	42	62	0	0	26	0	0	0	331	88	50	0	9	0	0	0	0	0	29	0	88	0	0	0	0	0	0	26	27	0	0	0	0	93	9	22	0	0	0	16	32	0	32	68	0	0	0	0	115	0	0	0	0	81	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	470	0	15	275	0	0	0	0	0	0	30	0	0	0	0	44	157	0	0	0	0	32	0	72	0	0	29	720	0	184	49	0	0	33	50	0	0	0	0	43	82	0	49	0	0	61	41	0	0	0	0	0	27	237	0	0	0	0	188	0	240	0	0
